idProveedor,nombreProveedor,idProducto,nombreProducto,marca,categoria,precio,cantidad,fechaEntrada
Prov-01,"Electrodomésticos S.A.",Prod-01,"Auriculares Inalámbricos Pro",Sony,Audio,299.99,10,2024-06-01
Prov-02,"Electrónica Avanzada",Prod-02,"Smartphone Apex X1",Samsung,Celulares,799.00,5,2024-06-02
Prov-03,"Tecnología Innovadora",Prod-03,"Laptop UltraBook",Lenovo,Computación,1299.00,3,2024-06-03
Prov-02,"Electrónica Avanzada",Prod-09,"Parlante Bluetooth BassGo",JBL,Audio,129.00,18,2024-06-09
Prov-04,"Global Tech S.R.L.",Prod-10,"Disco Duro Externo 1TB SSD",Kingston,Almacenamiento,99.99,30,2024-06-10
Prov-01,"Electrodomésticos S.A.",Prod-11,"Barra de Sonido Dolby",Sony,Audio,399.99,7,2024-06-11
Prov-02,"Electrónica Avanzada",Prod-12,"Smartphone Nova 11",Huawei,Celulares,649.00,10,2024-06-12
Prov-03,"Tecnología Innovadora",Prod-13,"Laptop ZenBook 15",Asus,Computación,1499.00,4,2024-06-13
Prov-04,"Global Tech S.R.L.",Prod-14,"Smartwatch Watch GT 3",Huawei,Wearables,199.99,14,2024-06-14
Prov-05,"Digital World",Prod-15,"Monitor 24 Full HD",Dell,Monitores,179.99,12,2024-06-15
Prov-01,"Electrodomésticos S.A.",Prod-16,"Audífonos Gamer Kraken",Razer,Audio,89.99,22,2024-06-16
Prov-02,"Electrónica Avanzada",Prod-17,"Cámara Mirrorless Alpha",Sony,Fotografía,899.99,6,2024-06-17
Prov-03,"Tecnología Innovadora",Prod-18,"Impresora Multifuncional EcoTank",Epson,Impresión,299.99,9,2024-06-18
Prov-04,"Global Tech S.R.L.",Prod-19,"Router Wi-Fi 6 Mesh",TP-Link,Redes,159.99,16,2024-06-19
Prov-05,"Digital World",Prod-20,"Tarjeta Gráfica RTX 4060",Nvidia,Componentes,429.99,8,2024-06-20
